NO,lon,lat,prob_dem,prob_s2
172.0,-47.65459275996389,-4.515786017504629,0.9240198,0.8736763
543.0,-63.78114874047753,-13.812271229800734,0.9175787,0.874164343
1159.0,-54.760625983462944,-2.2132242812494702,0.9167067,0.847670496
1720.0,-54.96759782492408,-10.517969419877623,0.9082452,0.86865443
1934.0,-56.59750107643055,-2.1528574941566383,0.9086834,0.847315073
1997.0,-55.32979854748108,-11.837414909192375,0.91253096,0.931546509
2834.0,-62.85839928062997,-9.086414183104756,0.91243196,0.890308022
3020.0,-63.04812346863601,-12.147872671384084,0.9115095,0.859565437
3287.0,-58.546485916856255,-2.282214895069851,0.9084775,0.855546772
3477.0,-60.219508302000456,-4.955601180609547,0.909261,0.888286948
3534.0,-50.65568446115039,-2.221848107977019,0.9050786,0.910477102
3657.0,-64.45380722522623,-14.85575426383397,0.90845674,0.935827076
4784.0,-55.36429385439126,-11.716681335006712,0.90368074,0.88483274
4823.0,-60.13327003472499,-6.093946308645805,0.90353274,0.848427653
5293.0,-48.120279403251445,-4.1535852949476375,0.9018412,0.830840349
